一架飞机要起飞了。	一架飞机正在起飞。	5
一个男人在吹一支大笛子。	一个人在吹长笛。	3
一个人正把切碎的奶酪撒在比萨饼上。	一个男人正在把切碎的奶酪撒在一块未煮好的比萨饼上。	3
三个人在下棋。	两个人在下棋。	2
一个人在拉大提琴。	一个坐着的人正在拉大提琴。	4
有些人在战斗。	两个人在打架。	4
一个男人在抽烟。	一个男人在滑冰。	0
那人在弹钢琴。	那人在弹吉他。	1
一个男人在弹吉他和唱歌。	一位女士正在弹着一把原声吉他，唱着歌。	2
一个人正把一只猫扔到天花板上。	一个人把一只猫扔在天花板上。	5
那人用棍子打了另一个人。	那人用棍子打了另一个人一巴掌。	4
一个人在吹长笛。	一个男人在吹竹笛。	3
一个人在叠一张纸。	有人在叠一张纸。	4
一条狗正试图把培根从他的背上弄下来。	一只狗正试图吃它背上的培根。	3
北极熊在雪地上滑行。	一只北极熊在雪地上滑行。	5
一个女人在写作。	一个女人在游泳。	0
一只猫在婴儿的脸上摩擦。	一只猫在蹭婴儿。	3
那人在骑马。	一个人骑着马。	5
一个人往锅里倒油。	一个人把酒倒进锅里。	3
一个男人在弹吉他。	一个女孩在弹吉他。	2
一只熊猫正从滑梯上滑下来。	熊猫从滑梯上滑下来。	4
一个女人在吃东西。	一个女人在吃肉。	3
女人剥土豆。	一个女人在剥土豆。	5
那男孩从自行车上摔了下来。	一个男孩从自行车上摔了下来。	4
那个女人在吹长笛。	一个女人在吹长笛。	5
一只兔子在躲避一只老鹰。	一只野兔正从一只老鹰身上跑出来。	4
那个女人正在煎一块裹着面包皮的猪排。	一位妇女正在做一块裹着面包屑的猪排。	4
一个女孩在放风筝。	一个正在奔跑的女孩正在放风筝。	4
一个人骑着一头机械公牛。	一个人骑着一头机械公牛。	4
那人在弹吉他。	一个男人在弹吉他。	4
一个女人和其他女人一起跳舞和唱歌。	一个女人在雨中又唱又跳。	3
一个男人正在往锅里倒油。	一个男人正在往锅里倒油。	4
一个男人在切面包。	一个人在切洋葱。	2
狮子在和人玩耍。	一只狮子正在和两个人玩耍。	3
狗骑滑板。	一只狗在滑板。	5
有人在雕刻雕像。	一个男人正在雕刻一座雕像。	3
一个女人在切洋葱。	一个人在切洋葱。	2
女人剥虾。	一个女人在剥虾。	5
一个女人在煎鱼。	一个女人在煮鱼。	4
一个女人在弹电吉他。	一个女人在弹吉他。	3
一个人在切西红柿。	一个人在切肉。	1
一只小老虎在玩球。	一个婴儿在玩洋娃娃。	1
一个人切洋葱。	一个人在切洋葱。	5
一个女人在吹长笛。	一个人在弹吉他。	1
一个人在弹钢琴。	一个女人在拉小提琴。	1
一个男人正在切土豆。	一个男人正在切胡萝卜。	2
一个人在弹吉他。	一个男孩在弹吉他。	3
一个小男孩在玩键盘。	一个男孩在玩键盘。	4
一个男人在弹吉他。	一个男人在弹电吉他。	3
狗舔婴儿。	狗在舔婴儿。	4
一个女人在切胡椒粉。	一个女人在切红辣椒。	3
一个人在打鼓。	一个人在打鼓。	5
一个女人骑着马。	一个女人在骑马。	5
一个男人在树边吃香蕉。	一个男人正在吃香蕉。	4
一只猫在玩键盘。	一个男人在玩两个键盘。	1
一个人用斧头砍倒了一棵树。	一个人用斧头砍树。	4
一个小孩在玩具电话。	一个小男孩在玩具电话。	3
